trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9999980000006666}",20,0,-119.93417224724237,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9999920000106667}",20,0,-142.04249707330658,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.999982000054}",25,0,-156.03115358267806,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.002, 'e': 0.9999680001706663}",30,0,-211.95105182238854,"{0: 14, 1: 7, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.002, 'e': 0.9999500004166653}",25,0,-86.06599766217614,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9999280008639958}",30,0,-115.32182732423128,"{0: 18, 1: 7, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9999020016006562}",25,0,-167.9144130722823,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9998720027306434}",20,0,-137.47065034690377,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9998380043739528}",20,0,-81.45316001597695,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9998000066665778}",30,0,-131.81795581224264,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9997580097605092}",20,0,-62.14760811678798,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.9997120138237345}",25,0,-62.31205089196609,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9996620190402377}",20,9,-32.87346901155726,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.002, 'e': 0.9996080256099974}",20,0,-171.45421570951837,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.002, 'e': 0.9995500337489875}",25,0,-102.52628032749672,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9994880436891754}",20,0,-73.14016270326042,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9994220556785212}",25,0,-105.49494018860472,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9993520699809768}",30,4,-217.15589141821147,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 4}",1
19,False,"{'a': 0.002, 'e': 0.9992780868764849}",30,0,-234.12118237252835,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
20,False,"{'a': 0.002, 'e': 0.9992001066609779}",25,0,-265.2328281355464,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 5}",0
21,False,"{'a': 0.002, 'e': 0.9991181296463766}",20,0,-81.0926497084907,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9990321561605888}",20,0,-35.77181743436777,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.002, 'e': 0.9989421865475084}",35,0,-286.1084896046927,"{0: 15, 1: 5, 2: 9, 3: 3, 4: 3}",0
24,False,"{'a': 0.002, 'e': 0.9988482211670138}",20,0,-119.60593748723309,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9987502603949663}",20,11,-50.04974573618771,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.002, 'e': 0.9986483046232089}",30,0,-164.0303621307771,"{0: 14, 1: 6, 2: 7, 3: 2, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9985423542595644}",25,0,-155.71097022932975,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9984324097278344}",30,7,-73.05958446797018,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 0}",1
29,False,"{'a': 0.002, 'e': 0.9983184714677966}",30,2,-98.24333167147988,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 1}",1
30,False,"{'a': 0.002, 'e': 0.9982005399352042}",20,0,-173.7346930472779,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.002, 'e': 0.9980786156017829}",25,0,-159.40158843001683,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.99795269895523}",25,0,-199.53339482424164,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
33,False,"{'a': 0.002, 'e': 0.9978227904992117}",20,10,-49.793198755904456,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.002, 'e': 0.9976888907533621}",25,0,-129.6897836093172,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9975510002532796}",20,0,-132.10075687223897,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9974091195505261}",25,0,-142.0501901302289,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9972632492126244}",20,0,-120.30128441585806,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.002, 'e': 0.9971133898230555}",20,0,-186.9689474891797,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
39,False,"{'a': 0.002, 'e': 0.9969595419812568}",20,0,-102.49409553949477,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
