trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-137.45992727487604,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-192.16138669352625,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-132.99393526004292,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-119.1705133955217,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",35,0,-255.77625597507287,"{0: 15, 1: 10, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-33.9456553646795,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-44.55616934876583,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-68.3776925061247,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-92.94243247291513,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-89.71774017780699,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-52.87481093584314,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-104.87461301795157,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,16,-10.498497683695174,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-49.018526470030764,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
