trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,1,-166.43633106822384,"{0: 12, 1: 1, 2: 9, 3: 0, 4: 2}",1
2,False,"{'a': 0.002, 'e': 0.25}",30,0,-178.96876576971843,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.002, 'e': 0.1111111111111111}",30,0,-99.70738309343987,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.0625}",20,0,-34.906472467266255,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.04}",25,0,-16.856259704961047,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.027777777777777776}",35,22,-29.865301522774203,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,False,"{'a': 0.002, 'e': 0.02040816326530612}",20,0,-29.59280755430337,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.015625}",25,9,20.879724541065823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.002, 'e': 0.012345679012345678}",25,14,-36.81797906048577,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.002, 'e': 0.01}",30,0,12.887582544197334,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.002, 'e': 0.008264462809917356}",25,9,-37.46971355574063,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.002, 'e': 0.006944444444444444}",25,3,36.373998674927904,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.002, 'e': 0.005917159763313609}",30,0,-3.6933244276933044,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.00510204081632653}",20,0,0.7230426836241461,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
