trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-128.52104906548553,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,5,-148.47668444563487,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",1
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-106.12710147145066,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-173.32027431537162,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-230.07677307665898,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",30,0,-248.1679139791944,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,12,-2.5161099118205756,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-228.8733076104511,"{0: 7, 1: 3, 2: 4, 3: 3, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-148.89489120896872,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-85.26530305241147,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-106.9952653956186,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-131.7142572163997,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",25,0,-163.69029505371026,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-77.52967036486584,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,13,7.657418859142466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-194.65402072603885,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-133.2859478299017,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-74.91620480154297,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",35,0,-125.77362626801934,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",25,0,-84.80755154810063,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,0,-84.11344968044074,"{0: 14, 1: 8, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",30,0,-160.1627989146665,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",25,0,-179.52225675474318,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",25,0,-154.61916731453883,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-122.97264802039696,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-78.15222666719725,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",30,0,-77.2834264988068,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-151.2929858765175,"{0: 9, 1: 3, 2: 3, 3: 4, 4: 1}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",20,0,-178.720975986217,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
30,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-171.68989308840233,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
31,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,10,-36.751414781753546,"{0: 5, 1: 3, 2: 1, 3: 1, 4: 0}",1
32,False,"{'a': 0.002, 'e': 0.9380049995307295}",25,0,-69.99719615357634,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
33,False,"{'a': 0.002, 'e': 0.9361308642916188}",25,0,-101.05474665258616,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
34,False,"{'a': 0.002, 'e': 0.9342604735772135}",20,7,-43.369856007942104,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.002, 'e': 0.9323938199059483}",30,0,-104.98464864739537,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,0,-80.61001445618253,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9286716938412872}",25,12,-19.854489130146707,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.002, 'e': 0.9268162065593822}",30,0,-159.40959672475446,"{0: 13, 1: 7, 2: 8, 3: 1, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-168.2535109996477,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,0,-66.00929387303833,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
41,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-83.89100422806094,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-84.73239607249177,"{0: 13, 1: 4, 2: 0, 3: 2, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,0,-91.46083828922298,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9157608767233256}",25,0,-103.21698144355322,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,-106.5199998380953,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9121051495450904}",30,0,-149.96130251713456,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
47,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-28.098251738333854,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,0,-152.90582985953256,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
49,False,"{'a': 0.002, 'e': 0.9066489037539209}",25,0,-131.08024045891824,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-110.3963763621382,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,14,-23.290366955628823,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.002, 'e': 0.9012252974212047}",30,16,-65.20926823274998,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-155.2346374838699,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-126.69330611721995,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,0,-82.25290469937285,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
56,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-94.8750447143006,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-151.76143467897703,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,15,-4.674262789880686,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,10,-11.724456081216376,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.002, 'e': 0.8869204367171575}",30,0,-93.52887442759075,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-50.5060110385328,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.8833798408827509}",30,0,-85.98419990811307,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-90.46420843610026,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-111.8453807022983,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,9,-6.324776654221534,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,0,-98.82831442642637,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-90.04948093629281,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-135.57563895491225,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,3,-136.11161869530974,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 2}",1
70,False,"{'a': 0.002, 'e': 0.8693582353988059}",35,0,-208.7401861063919,"{0: 23, 1: 3, 2: 4, 3: 1, 4: 4}",0
71,False,"{'a': 0.002, 'e': 0.867621256485914}",30,0,-38.17554391734438,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.865887748059205}",25,0,-201.14190682580457,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
73,False,"{'a': 0.002, 'e': 0.8641577031846428}",25,0,-156.24365136880857,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.8624311149420455}",25,0,-65.41357598523027,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
