trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",30,0,-149.9930158019207,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1}",25,0,-129.13120144397334,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1}",20,0,-132.75702241302653,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1}",30,0,-233.02264593987792,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1}",20,10,-88.19106566219475,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1}",30,0,-236.61935357302823,"{0: 15, 1: 6, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1}",25,1,-30.951593460776966,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1}",30,0,-127.40153694344626,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1}",20,0,-115.91415663078322,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1}",30,0,-196.70873528928954,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1}",20,0,-108.80931485626692,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1}",20,0,-97.47941544019078,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1}",20,0,-125.85512049130134,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1}",20,0,-73.25066299049064,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1}",25,0,-59.546030597500504,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1}",20,0,-80.8028178068676,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1}",30,0,-242.53439752990724,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1}",20,10,-60.07230998280177,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1}",25,0,-161.09266152584013,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1}",20,0,-80.64757406857385,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1}",20,0,-56.18666502983794,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1}",20,0,-155.91991608096933,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1}",20,0,-66.09601538576575,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1}",20,0,-76.59877945410817,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1}",30,4,-58.37795302612352,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1}",20,0,-194.66989378330965,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1}",20,0,-138.632025596148,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1}",20,0,-70.40070619184803,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1}",30,0,-105.19196154815305,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1}",30,0,-154.48970719427948,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
